,[S] Agent communautaire,[A] Formation pour AC,[A] Vélos pour AC,"[A] Equipement pour AC (bottes, imperméable, lampes torches, pile)",[A] Salaire pour AC,Date limite,[A] Téléphones pour AC,[A] Credit mensuel de Communication pour AC,Date limite ,[S] Superviseurs de proximité,[A] Formation de superviseurs de proximite,"[A] Equipements pour les superviseurs (bottes, imperméable, lampes torches, pile)",[A] Motos pour superviseurs,[A] Carburant de supervision ,Date limite,[A] Téléphone portable,[A] Credit mensuel de Communication par mois,Date limite,[S] Superviseurs de district,[A] Formation de superviseurs de district,"[A] Equipement pour supervisuer (bottes, imperméable, lampes torches, pile)",[A] Véhicule,[A] Carburant ssupervision de district ,Date limite,[A] Téléphone portable,[A] Credit mensuel de Communication (flotte),Date limite,[S]  Investigation et Epidemiologie,[A] Investigateurs nationaux,Date limite ,[A] Experts internationaux pour l'appui à la surveillance ,Date limite,[A] Vehicule pour les investigations des cas,[A] Carburant ,Date limite,"[S]  Surveillance transfrontalière (terrestre, maritime et aéroport, entrées et sorities des villes et les garevitures des viles)",[A] Postes frontaliers,[A] Formation pour agents,"[A] Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",Date limite,[S]  Gestion des données,[A] Responsables prefectoraux de la gestion des données ,Date limite,[A] Suivi et Evaluation ,Date limite ,[S] Surveillance basée à l'hopital,[A] PPE et equipements,[A] Espace pour les cas d'isolations,[A] Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,Date limite
Nzérékoré*,,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan/Save the Children (100),Save: en cours; UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/OMS/CDC/Plan,UNFPA:31 Decembre ,,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA/OMS/CDC/Plan,UNFPA: 15 novembre 2014,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC/Plan,En cours,,,,,,OMS/CDC,En cours
Pita ,,ACF/UNFPA (180),ACF,ACF,ACF,ACF: appui possible à partir du 12 Janvier.,,ACF: appui possible à partir du 12 Janvier.,ACF: appui possible à partir du 12 Janvier.,,ACF,,,ACF,ACF: appui possible à partir du 12 Janvier.,,ACF,ACF: appui possible à partir du 12 Janvier.,,ACF,,,ACF,ACF: appui possible à partir du 12 Janvier.,OMS/CDC,OMS/CDC,ACF: appui possible à partir du 12 Janvier.,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Siguiri ,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/Save the Children (25),Save: en cours; UNFPA:31 Decembre ,UNFPA/Columbia Univ ,OMS/CDC,UNFPA:31 Decembre ,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC,En cours,,,,,,OMS/CDC,En cours
Télimélé,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Yomou*,,UNFPA (80)OMS/CDC,UNFPA (80)OMS/CDC,UNFPA (80)OMS/CDC,UNFPA (80)OMS/CDC,UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/OMS/CDC,UNFPA:31 Decembre ,,UNFPA (8)OMS/CDC,UNFPA (8)OMS/CDC,UNFPA (8)OMS/CDC,UNFPA (8)OMS/CDC,UNFPA:31 Decembre ,OMS/CDC,UNFPA/OMS/CDC,UNFPA: 15 novembre 2014,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
