"Region","P-Code","Sector","Activity Type","Organisation","Activity","Start Date","End Date"
"Gaoual","GIN001004","Communications","Campagne médiatique","Internews","En collaboration avec la radio Voix de Fria",2014-12-15,2015-06-15
"Guéckédou","GIN008006","Communications","Campagne médiatique","PNUD",,2014-10-30,2014-12-31
"Guéckédou","GIN008006","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2014-12-31
"Guéckédou","GIN008006","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Kankan","GIN004001","Communications","Campagne médiatique","Internews","Panneaux et affiches d'IEC ",,
"Kankan","GIN004001","Communications","Campagne médiatique","USAID/Save the Children",,,
"Kankan","GIN004001","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2014-12-31
"Kankan","GIN004001","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Kerouane","GIN004002","Communications","Campagne médiatique","UNFPA and OMS","Panneaux et affiches d'IEC. Sensibilisation des populations",,2014-12-31
"Kerouane","GIN004002","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Kindia","GIN005004","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Kindia","GIN005004","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2015-11-01
"Kindia","GIN005004","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Kissidougou","GIN003004","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC",,2014-12-31
"Kissidougou","GIN003004","Communications","Campagne médiatique","CRG/FICR",,2014-12-15,2015-06-15
"Koubia","GIN006001","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Kouroussa","GIN004003","Communications","Campagne médiatique","UNFPA",,2014-11-10,2014-12-31
"Kouroussa","GIN004003","Communications","Campagne médiatique","USAID/Save the Children",,,
"Kouroussa","GIN004003","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Labe","GIN006002","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Labe","GIN006002","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2015-11-01
"Labe","GIN006002","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Lola","GIN008002","Communications","Campagne médiatique","PNUD",,,2014-12-31
"Lola","GIN008002","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Macenta","GIN008003","Communications","Campagne médiatique","PNUD",,2014-10-30,2014-12-31
"Macenta","GIN008003","Communications","Campagne médiatique","UNFPA and OMS","Panneaux et affiches d'IEC ",,2015-11-01
"Macenta","GIN008003","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Mali","GIN006004","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Mamou","GIN007002","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Nzérékoré","GIN008004","Communications","Campagne médiatique","PNUD",,2014-10-30,2014-12-31
"Nzérékoré","GIN008004","Communications","Campagne médiatique","Internews","Campagne mediatique",,
"Nzérékoré","GIN008004","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",2014-11-10,2014-12-31
"Nzérékoré","GIN008004","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Pita","GIN007003","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Pita","GIN007003","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/ théatres/ spots radio",2014-12-15,2015-06-15
"Siguiri","GIN004005","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2014-12-31
"Siguiri","GIN004005","Communications","Campagne médiatique","CRG/FICR","*Emissions interactives/théatres ",2014-12-15,2015-06-15
"Telemele","GIN005005","Communications","Campagne médiatique","OMS","Emission interactives radio rurale locale",,
"Telemele","GIN005005","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Telemele","GIN005005","Communications","Campagne médiatique","Internews","En collaboration avec la radio rurale de Telimele;",,
"Telemele","GIN005005","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/ théatres/ spots radio",2014-12-15,2015-06-15
"Yomou","GIN008005","Communications","Campagne médiatique","PNUD",,2014-10-30,2014-12-31
"National",,"Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"National",,"Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Beyla","GIN008001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Beyla","GIN008001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Boffa","GIN001001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Boffa","GIN001001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Boké","GIN001002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Boké","GIN001002","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Conakry","GIN002001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Conakry","GIN002001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Coyah","GIN005001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs a",,2015-01-03
"Coyah","GIN005001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Dabola","GIN003001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Dabola","GIN003001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Dalaba","GIN007001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs a",,2015-01-03
"Dalaba","GIN007001","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Dinguiraye","GIN003002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Dinguiraye","GIN003002","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Dubreka","GIN005002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Dubreka","GIN005002","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"Faranah","GIN003003","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Faranah","GIN003003","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Forecariah","GIN005003","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Forecariah","GIN005003","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Gaoual","GIN001004","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Gaoual","GIN001004","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Guéckédou","GIN008006","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Guéckédou","GIN008006","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Kankan","GIN004001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Kankan","GIN004001","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Kerouane","GIN004002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Kerouane","GIN004002","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Kindia","GIN005004","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Kindia","GIN005004","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Kissidougou","GIN003004","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Kissidougou","GIN003004","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Koubia","GIN006001","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Koubia","GIN006001","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Koundara","GIN001005","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Koundara","GIN001005","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Kouroussa","GIN004003","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Kouroussa","GIN004003","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Labe","GIN006002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Labe","GIN006002","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Lola","GIN008002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Lola","GIN008002","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Macenta","GIN008003","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Macenta","GIN008003","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Mali","GIN006004","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Mali","GIN006004","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Mamou","GIN007002","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Mamou","GIN007002","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Nzérékoré","GIN008004","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Nzérékoré","GIN008004","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Pita","GIN007003","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Pita","GIN007003","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Siguiri","GIN004005","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Siguiri","GIN004005","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Telemele","GIN005005","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Telemele","GIN005005","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Tougue","GIN006005","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Tougue","GIN006005","Communications","Productions artistiques et culturelles","OMS","Production et diffusion sur RTG de 15 sketchs ",,
"Yomou","GIN008005","Communications","Productions artistiques et culturelles","UNFPA","Production et diffusion sur RTG de 15 sketchs ",,2015-01-03
"Yomou","GIN008005","Communications","Productions artistiques et culturelles","OMS","Appui aux production de Spots TV/Radio",,
"National",,"Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Beyla","GIN008001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Boffa","GIN001001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Boké","GIN001002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Conakry","GIN002001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Coyah","GIN005001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Dabola","GIN003001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Dalaba","GIN007001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Dinguiraye","GIN003002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Dubreka","GIN005002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Forecariah","GIN005003","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Gaoual","GIN001004","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Guéckédou","GIN008006","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Kankan","GIN004001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Kerouane","GIN004002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Kindia","GIN005004","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Kissidougou","GIN003004","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Koubia","GIN006001","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Koundara","GIN001005","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Kouroussa","GIN004003","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Labe","GIN006002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Lola","GIN008002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Mali","GIN006004","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Mamou","GIN007002","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Nzérékoré","GIN008004","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Pita","GIN007003","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Siguiri","GIN004005","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Telemele","GIN005005","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Tougue","GIN006005","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"Yomou","GIN008005","Communications","Equipes regionales de la TV nationale","UNICEF"," Collaboration TV nationales et 4 TV privées",,2014-12-31
"National",,"Communications","Radios Rurales","UNICEF","En appui a la Coordination nationale",,2015-01-31
"Beyla","GIN008001","Communications","Radios Rurales","UNICEF","(40%) Fouala GAP (60%)",,2015-01-31
"Boffa","GIN001001","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Boké","GIN001002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Conakry","GIN002001","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Coyah","GIN005001","Communications","Radios Rurales","PLAN",,,2015-01-31
"Dabola","GIN003001","Communications","Radios Rurales",,,,
"Dalaba","GIN007001","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Dinguiraye","GIN003002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Dubreka","GIN005002","Communications","Radios Rurales","PLAN",,,2015-01-31
"Forecariah","GIN005003","Communications","Radios Rurales",,,,
"Gaoual","GIN001004","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Guéckédou","GIN008006","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Kankan","GIN004001","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Kerouane","GIN004002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Kindia","GIN005004","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Kissidougou","GIN003004","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Koubia","GIN006001","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Koundara","GIN001005","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Kouroussa","GIN004003","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Labe","GIN006002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Lola","GIN008002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Mali","GIN006004","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Mamou","GIN007002","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Nzérékoré","GIN008004","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Pita","GIN007003","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Siguiri","GIN004005","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Telemele","GIN005005","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Tougue","GIN006005","Communications","Radios Rurales","UNICEF",,,2015-01-31
"Yomou","GIN008005","Communications","Radios Rurales","UNICEF",,,2015-01-31
"National",,"Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Beyla","GIN008001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Boffa","GIN001001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Boké","GIN001002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Conakry","GIN002001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Coyah","GIN005001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Dabola","GIN003001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Dalaba","GIN007001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Dinguiraye","GIN003002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Dubreka","GIN005002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Forecariah","GIN005003","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Gaoual","GIN001004","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Guéckédou","GIN008006","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Kankan","GIN004001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Kerouane","GIN004002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Kindia","GIN005004","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Kissidougou","GIN003004","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Koubia","GIN006001","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Koundara","GIN001005","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Kouroussa","GIN004003","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Labe","GIN006002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Lola","GIN008002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Mali","GIN006004","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Mamou","GIN007002","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Nzérékoré","GIN008004","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Pita","GIN007003","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Siguiri","GIN004005","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Telemele","GIN005005","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Tougue","GIN006005","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"Yomou","GIN008005","Communications","Elaborer le guide harmonisé et intégré de communication et des supports de communication","UNFPA","Groupe de travail de la communication",,2015-01-15
"National",,"Communications","Comites de veille","UNICEF","Partenariat avec Agences ONU/ONGs",,
"National",,"Communications","Comites de veille","OMS","Conception du document de stratégie ",,
"Beyla","GIN008001","Communications","Comites de veille","UNICEF","(CU+13 CR)",,
"Beyla","GIN008001","Communications","Comites de veille","USAID","(40 CV)",,
"Beyla","GIN008001","Communications","Comites de veille","SAVE THE CHILDREN","(40 CV)",,
"Boffa","GIN001001","Communications","Comites de veille",,"(CU+ 7CR)",,
"Boké","GIN001002","Communications","Comites de veille",,"(1CU+  10CR)",,
"Conakry","GIN002001","Communications","Comites de veille",,,,
"Coyah","GIN005001","Communications","Comites de veille","UNICEF","(CU+ 3CR)",,
"Coyah","GIN005001","Communications","Comites de veille","PLAN GUINEE",,,
"Coyah","GIN005001","Communications","Comites de veille","OMS",,,
"Dabola","GIN003001","Communications","Comites de veille","UNICEF","(CU+ 8 CR)",,
"Dalaba","GIN007001","Communications","Comites de veille",,"(CU+9 CR)",,
"Dinguiraye","GIN003002","Communications","Comites de veille",,"(CU+7CR)",,
"Dubreka","GIN005002","Communications","Comites de veille",,"(1CU+  6CR)",,
"Faranah","GIN003003","Communications","Comites de veille",,"(CU+10 CR);",,
"Faranah","GIN003003","Communications","Comites de veille","UNFPA","UNFPA: 16
CR Marela (1)
CR Tindo (2)
CR Tiro (2)
CR Sandenia (1)
CR Passaya (1)",,12/18/2014
"Forecariah","GIN005003","Communications","Comites de veille","UNICEF","(CU+9CR)",,
"Fria","GIN001003","Communications","Comites de veille",,,,
"Gaoual","GIN001004","Communications","Comites de veille",,,,
"Guéckédou","GIN008006","Communications","Comites de veille","UNICEF","(CU+9 CR)",,
"Kankan","GIN004001","Communications","Comites de veille","UNICEF","(CU+12CR)",,
"Kankan","GIN004001","Communications","Comites de veille","Save the Children","30 CV",,1/31/2015
"Kankan","GIN004001","Communications","Comites de veille","USAID","30 CV",,
"Kankan","GIN004001","Communications","Comites de veille","UNFPA","UNFPA:19
CU (9)
CR: Balandou (2)
CR Tokonou (2)
CR Gberedou-Baranama(2)
CR Boula (2)
CR Karifamoriya (2)

42 Formateurs/superviseurs",,2014-12-18
"Kerouane","GIN004002","Communications","Comites de veille","Save the Children","(69 CV)",,2014-12-31
"Kerouane","GIN004002","Communications","Comites de veille","UNICEF","(CU+7 CR)",,
